Street,City,District,State,SALE_YEAR,area,zoning,latitude,longitude,waterApplicable,waterDistance,roadApplicable,roadDistance,schoolApplicable,schoolDistance,railwayApplicable,railwayDistance,busApplicable,busDistance,price,past_prices
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2021,0.1138,Agricultural,11.0175,76.9725,applicable,3.46,applicable,4.35,applicable,4.27,applicable,2.63,applicable,2.81,146100.0,"[0, 0, 0, 0, 0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2022,0.7332,Agricultural,9.921,78.1197,applicable,0.45,applicable,2.86,applicable,0.92,applicable,5.55,applicable,0.66,1217400.0,"[8893600.0, 8712000.0, 6309500.0, 226700.0, 3192500.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2023,0.5687,Conservation,11.0175,76.9725,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,5.04,applicable,1.14,749700.0,"[364800.0, 101200.0, 5022900.0, 1292200.0, 319400.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2021,2.9804,Commercial,11.0175,76.9725,applicable,4.66,notApplicable,0.0,notApplicable,0.0,applicable,0.52,applicable,4.97,30568900.0,"[0, 0, 0, 0, 0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2021,3.8881,Commercial,9.924,78.135,applicable,3.46,notApplicable,0.0,applicable,1.72,applicable,3.59,applicable,5.41,28520000.0,"[0, 0, 0, 0, 0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2025,0.4145,Residential,11.0183,76.997,notApplicable,0.0,applicable,3.27,applicable,5.83,applicable,5.19,notApplicable,0.0,2414500.0,"[8301200.0, 222900.0, 5292400.0, 59415000.0, 622800.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2025,0.419,Agricultural,11.0616,76.9366,applicable,1.24,notApplicable,0.0,notApplicable,0.0,applicable,5.49,applicable,5.25,830700.0,"[10616900.0, 539500.0, 25797000.0, 914100.0, 30806700.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2025,0.0378,Conservation,11.0175,76.9725,applicable,4.88,applicable,1.59,applicable,1.6,applicable,3.49,notApplicable,0.0,41500.0,"[3325300.0, 34099900.0, 2136000.0, 1981200.0, 777400.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2021,0.3364,Industrial,11.0616,76.9366,applicable,4.43,notApplicable,0.0,applicable,1.37,applicable,2.01,applicable,5.97,2199400.0,"[0, 0, 0, 0, 0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2024,0.2286,Conservation,11.349,77.6951,applicable,0.38,applicable,2.12,notApplicable,0.0,applicable,3.18,applicable,1.82,211600.0,"[34594300.0, 709100.0, 364400.0, 282100.0, 42800.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2025,0.0907,Residential,8.7139,77.7567,applicable,4.11,applicable,5.91,applicable,0.77,applicable,2.54,notApplicable,0.0,391900.0,"[1664700.0, 1252200.0, 112000.0, 32276700.0, 930400.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2022,3.1009,Agricultural,9.921,78.1197,applicable,0.49,notApplicable,0.0,applicable,6.0,notApplicable,0.0,applicable,5.05,5297300.0,"[8893600.0, 8712000.0, 6309500.0, 226700.0, 3192500.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2022,0.3185,Residential,8.813,78.1341,applicable,2.65,notApplicable,0.0,applicable,5.75,notApplicable,0.0,applicable,5.97,1276400.0,"[381400.0, 24209200.0, 9471000.0, 3488900.0, 1032100.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2022,0.0366,Industrial,11.0616,76.9366,notApplicable,0.0,applicable,1.11,applicable,5.77,notApplicable,0.0,notApplicable,0.0,318200.0,"[2199400.0, 364900.0, 65164200.0, 4100200.0, 409200.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2025,0.4516,Agricultural,12.9791,80.2209,applicable,2.03,applicable,1.71,applicable,4.08,notApplicable,0.0,applicable,2.02,1099200.0,"[812200.0, 9988300.0, 4656600.0, 1015900.0, 4699100.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2024,0.0543,Commercial,12.9791,80.2209,applicable,5.3,applicable,2.34,applicable,1.11,notApplicable,0.0,notApplicable,0.0,812200.0,"[379000.0, 3141200.0, 326500.0, 7256100.0, 46031100.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2025,1.2934,Commercial,11.0616,76.9366,notApplicable,0.0,applicable,4.51,notApplicable,0.0,applicable,1.1,notApplicable,0.0,16695000.0,"[10616900.0, 539500.0, 25797000.0, 914100.0, 30806700.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2022,0.1062,Commercial,11.0183,76.997,applicable,3.9,applicable,1.72,applicable,4.5,applicable,3.4,notApplicable,0.0,927400.0,"[1821200.0, 2196700.0, 12626700.0, 9188700.0, 926300.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2021,0.7236,Agricultural,10.4508,77.5148,applicable,4.82,applicable,5.19,applicable,5.41,applicable,1.42,notApplicable,0.0,1180700.0,"[0, 0, 0, 0, 0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2025,0.2922,Commercial,12.9834,80.259,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,4.47,4933900.0,"[1082700.0, 2731200.0, 52497700.0, 5410100.0, 14039900.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2023,2.2323,Residential,9.924,78.135,applicable,1.52,notApplicable,0.0,applicable,0.34,applicable,1.32,notApplicable,0.0,15115400.0,"[821700.0, 733500.0, 625700.0, 1934700.0, 540500.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2023,1.5193,Agricultural,9.921,78.1197,notApplicable,0.0,applicable,1.74,notApplicable,0.0,applicable,0.83,notApplicable,0.0,3278400.0,"[1217400.0, 5297300.0, 867300.0, 637900.0, 19826500.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2024,1.0778,Commercial,11.0616,76.9366,applicable,5.65,applicable,4.47,applicable,1.34,notApplicable,0.0,applicable,2.7,10616900.0,"[1762300.0, 1592900.0, 400900.0, 1550000.0, 49100500.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2023,5.0427,Conservation,9.9677,78.1653,applicable,2.4,applicable,4.54,applicable,1.21,applicable,3.5,applicable,2.56,4168000.0,"[684300.0, 148600.0, 1293000.0, 2137000.0, 3727400.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2022,4.7899,Commercial,10.9979,76.9994,applicable,4.02,applicable,1.85,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,55643900.0,"[303400.0, 1319200.0, 1369900.0, 26184100.0, 1205300.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2021,0.4129,Commercial,9.4523,77.5533,applicable,2.84,applicable,5.34,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,2984500.0,"[0, 0, 0, 0, 0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2024,0.066,Industrial,11.0616,76.9366,notApplicable,0.0,applicable,3.43,notApplicable,0.0,notApplicable,0.0,applicable,5.52,539500.0,"[1762300.0, 1592900.0, 400900.0, 1550000.0, 49100500.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2025,7.3486,Industrial,12.9791,80.2209,notApplicable,0.0,applicable,1.7,notApplicable,0.0,notApplicable,0.0,applicable,1.63,94773800.0,"[812200.0, 9988300.0, 4656600.0, 1015900.0, 4699100.0]"
